,Symptom
6743,"Hives, Itching or burning, Skin rash and Welts"
6744,"Hives, Itching or burning, Swelling (Face) and Swelling (Hand (back))"
6745,"Hives, Joint pain (Wrist), Joint pain (Knee (patella)) and Pain or discomfort"
6746,"Hives, Joint pain and Pain or discomfort"
6747,"Hives, Joint pain and Swelling"
6748,"Hives, Lump or bulge (Hand (palm)) and Lump or bulge (Foot (sole))"
6749,"Hives, Lump or bulge (Scalp), Lump or bulge (Ears) and Lump or bulge (Face)"
6750,"Hives, Nausea or vomiting and Pain or discomfort"
6751,"Hives, Pain or discomfort and Swelling"
6752,"Hives, Skin blisters and Skin bumps"
6753,"Hives, Skin bumps and Skin rash"
6754,"Hives, Skin peeling and cracking or scaling"
6755,"Hives, Skin rash, Swelling (Eyes) and Swelling (Ears)"
6756,"Hives, Swelling and Warm to touch"
6757,Hoarse voice and Increased thirst
6758,Hoarse voice and Metallic taste in mouth
6759,Hoarse voice and Mouth sores
6760,Hoarse voice and Nausea or vomiting
6761,Hoarse voice and Nosebleed
6762,Hoarse voice and Post nasal drip
6763,Hoarse voice and Pressure or heaviness
6764,Hoarse voice and Red (strawberry) tongue
6765,Hoarse voice and Ringing in ears
6766,Hoarse voice and Runny nose
6767,Hoarse voice and Skin rash
6768,Hoarse voice and Stiff neck
6769,Hoarse voice and Thick saliva or mucus
6770,Hoarse voice and Upset stomach
6771,Hoarse voice and White patches on tongue
6772,"Hoarse voice, Itching or burning, Nasal congestion and Sore throat"
6773,"Hoarse voice, Loss of voice and Post nasal drip"
6774,"Hoarse voice, Loss of voice, Lump or bulge and Muffled voice"
6775,"Hoarse voice, Lump or bulge, Pain or discomfort and Snoring"
6776,"Hoarse voice, Lump or bulge, Pain or discomfort, Short and wide neck"
6777,"Hoarse voice, Mouth sores and Sore tongue"
6778,"Hoarse voice, Pain or discomfort, Sore throat and Stiff neck"
6779,"Hoarse voice, Skin rash and Sore throat"
6780,Hoarseness
6781,Hodgkin's Lymphoma Symptoms and Signs
6782,Holding bowel movements and Lump or bulge
6783,Holding bowel movements and Muscle cramps or spasms (painful)
6784,Holding bowel movements and Pain
6785,Holding objects closer to read and Pain or discomfort
6786,Hot Flashes
6787,Hot flashes and Hunger
6788,Hot flashes and Increased thirst
6789,Hot flashes and Itching or burning
6790,Hot flashes and Joint pain
6791,Hot flashes and Lightheadedness
6792,Hot flashes and Low blood pressure
6793,Hot flashes and Missed period
6794,Hot flashes and Nausea or vomiting
6795,Hot flashes and Numbness or tingling
6796,Hot flashes and Pain
6797,Hot flashes and Shaking
6798,Hot flashes and Shaking hands
6799,Hot flashes and Skin rash
6800,Hot flashes and Swelling
6801,Hot flashes and Upset stomach
6802,Hot flashes and Weight loss (unintentional)
6803,"Hot flashes, Hot and dry skin"
6804,"Hot flashes, Increased thirst and Night sweats"
6805,"Hot flashes, Joint pain, Lump or bulge and No menstrual periods"
6806,"Hot flashes, Missed period and Night sweats"
6807,"Hot flashes, Muscle cramps, Nausea or vomiting"
6808,"Hot flashes, Nausea or vomiting and Pain"
6809,"Hot flashes, Nausea or vomiting and Upset stomach"
6810,"Hot flashes, Pain and Sore throat"
6811,"Hot flashes, Palpitations"
6812,"Hot flashes, Rapid heart rate"
6813,"Hot flashes, Shaking, Trembling, Generalized weakness"
6814,"Hot, dry skin and Increased sensitivity to heat"
6815,"Hot, dry skin and Increased thirst"
6816,"Hot, dry skin and Night sweats"
6817,"Hot, dry skin and Pale skin"
6818,"Hot, dry skin and Warm to touch"
6819,"Hot, dry skin, Itching or burning and Warm to touch"
6820,Hu-Hz
6821,Hunched Posture
6822,Hunger and Excessive gas
6823,Hunger and Increased sensitivity to heat
6824,Hunger and Lightheadedness
6825,Hunger and Mood swings
6826,Hunger and Nausea or vomiting
6827,Hunger and Night sweats
6828,Hunger and Shaking hands
6829,Hunger and Upset stomach
6830,"Hunger, Muscle cramps"
6831,"Hunger, Short attention span and Tires quickly"
6832,Hunter Syndrome Symptoms and Signs
6833,Huntington's Disease Symptoms and Signs
6834,Hydrocele Symptoms and Signs
6835,Hydrocephalus Symptoms and Signs
6836,Hydronephrosis Symptoms and Signs
6837,Hydroxyapatite Crystal Disease Symptoms and Signs
6838,Hyperactive behavior and Mood swings
6839,Hyperactive behavior and Restless or irritability
6840,"Hyperactive behavior, Involuntary movements (picking and lip smacking etc.)"
6841,Hyperactivity
6842,Hypercalcemia Symptoms and Signs
6843,Hyperdontia Symptoms and Signs
6844,Hyperkalemia Symptoms and Signs
6845,Hypermobility Syndrome Symptoms and Signs
6846,Hyperparathyroidism Symptoms and Signs
6847,Hypersensitivity Pneumonitis Symptoms and Signs
6848,Hypersomnia and Drowsiness
6849,Hypersomnia Symptoms and Signs
6850,"Hypersomnia, Dizziness, Drowsiness and Fatigue"
6851,"Hypersomnia, Dizziness, Drowsiness and Forgetfulness"
6852,"Hypersomnia, Fatigue and Tires quickly"
6853,Hypertensive Kidney Disease Symptoms and Signs
6854,Hyperthermia Symptoms and Signs
6855,Hyperthyroidism Symptoms and Signs
6856,Hyperventilating (rapid/deep breathing) and Nausea or vomiting
6857,Hyperventilating (rapid/deep breathing) and Rapid breathing
6858,"Hyperventilating, Rapid heart rate"
6859,Hyperventilation
6860,Hypocalcemia Symptoms and Signs
6861,Hypoglycemia Symptoms and Signs
6862,Hypokalemia Symptoms and Signs
6863,Hypoparathyroidism Symptoms and Signs
6864,Hypopituitarism Symptoms and Signs
6865,Hypothermia Symptoms and Signs
6866,Hypothyroidism Symptoms and Signs
6867,Hypoxia Symptoms and Signs
6868,Ia-Iq
6869,Ir-Iz
6870,Ia-Iq
6871,ICU Psychosis Symptoms and Signs
6872,Idiopathic Thrombocytopenic Purpura Symptoms
6873,IgA Nephropathy (Berger's Disease) Symptoms
6874,Illness Anxiety Disorder (Hypochondria)
6875,Impacted Wisdom Tooth Symptoms and Signs
6876,Impaired judgement
6877,Impaired social skills and Lack of emotion
6878,Impaired social skills and Lack of motivation
6879,"Impaired social skills, Lack of emotion, Lack of motivation and Lack of pleasure"
6880,Impetigo Symptoms and Signs
6881,Impingement Syndrome Symptoms and Signs
6882,Impotence
6883,Impulsivity
6884,Inability to Exercise (Exercise Intolerance)
6885,"Inability to move, Joint pain and Unable to move joint"
6886,"Inability to move, Joint pain, Pain or discomfort and Unable to grip (hands)"
6887,"Inability to move, Muscle cramps, Numbness or tingling"
6888,"Inability to move, Numbness or tingling, Unable to grip"
6889,"Inability to move, Stiffness or decreased movement and Unable to move joint"
6890,"Inability to move, Unable to grip (hands) and Weakness"
6891,Inability to Regulate Emotions
6892,Inappropriate behavior and Mood swings
6893,Inattention
6894,"Incontinence, Urine"
6895,Increased Appetite
6896,Increased passing gas and Stomach cramps
6897,Increased passing gas and Vaginal bleeding
6898,"Increased passing gas, Joint pain and Muscle cramps or spasms (painful)"
6899,"Increased passing gas, Numbness or tingling and Pulsating sensation"
6900,Increased sensitivity to cold and Pain or discomfort
6901,Increased sensitivity to cold and Shaking chills (rigors)
6902,Increased speech volume and Increased talkativeness
6903,Increased talkativeness and Rapid speech
6904,"Increased talkativeness, Involuntary movements (picking and lip smacking etc.)"
6905,Increased thirst and Itching or burning
6906,Increased thirst and Metallic taste
6907,Increased thirst and Nausea or vomiting
6908,Increased thirst and Sore throat
6909,Increased thirst and Sore tongue
6910,Increased thirst and Taste of acid in mouth
6911,Increased thirst and Thick saliva
6912,Increased thirst and Upset stomach
6913,Increased thirst and Weight gain
6914,"Increased thirst, Joint pain, Metallic taste in mouth and Numbness or tingling"
6915,"Increased thirst, Nausea or vomiting and Pain or discomfort"
6916,"Increased thirst, Weight loss"
6917,Infectious Mononucleosis (Mono) Symptoms and Signs
6918,Infertility
6919,Inflammation of the Cornea (Keratitis Symptoms and Signs)
6920,Inflammation of the Larynx (Laryngitis)
6921,Inflammation of the Sclera (Scleritis Symptoms and Signs)
6922,Inflammatory Bowel Disease Symptoms and Signs
6923,Inflammatory Breast Cancer Symptoms and Signs
6924,Ingrown Hair Symptoms and Signs
6925,Ingrown Toenail Symptoms and Signs
6926,Inner Ear Infection Symptoms and Signs
6927,Insect Sting Allergy Symptoms and Signs
6928,Insomnia
6929,insomnia and Nausea or vomiting
6930,insomnia and Nosebleed
6931,insomnia and Numbness or tingling
6932,"insomnia, Dizziness, Headache and Lightheadedness"
6933,"insomnia, Fever, Restless (tossing, turning) sleep"
6934,"insomnia, Frequent bowel movement, Lightheadedness and Pain"
6935,"insomnia, Palpitations"
6936,Insulin Resistance Symptoms and Signs
6937,Intentional vomiting (purging)
6938,Intentional vomiting (purging) and Upset stomach
6939,"Intentional vomiting (purging), Pain or discomfort and Pulsating sensation"
6940,Internal Bleeding Symptoms and Signs
6941,Interstitial Cystitis Symptoms and Signs
6942,Interstitial Lung Disease Symptoms and Signs
6943,Intertrigo Symptoms and Signs
6944,Intrahepatic Cholestasis of Pregnancy Symptoms
6945,Intussusception Symptoms and Signs
6946,Invaginated Nipple (Inverted Nipple)
6947,Inverted Nipple
6948,Involuntary head turning or twisting and Muscle twitching (painless)
6949,Involuntary head turning or twisting and Stiff neck
6950,Involuntary head turning or twisting and Tilts head to look at something
6951,"Involuntary head turning or twisting, Muscle twitching (painless) and Stiff neck"
6952,"Involuntary movements (picking, lip smacking etc.) and Jaw locking"
6953,"Involuntary movements, Short-term memory loss"
6954,Ir-Iz
6955,Iritis Symptoms and Signs
6956,Iron Deficiency Anemia Symptoms and Signs
6957,Iron Deficiency Symptoms and Signs
6958,Iron Overload (Hemochromatosis) Symptoms and Signs
6959,Irregular heartbeat and Itching or burning
6960,Irregular heartbeat and Lightheadedness
6961,Irregular heartbeat and Pulsating sensation
6962,Irregular heartbeat and Ringing in ears
6963,Irregular heartbeat and Shortness of breath
6964,Irregular heartbeat and Swelling
6965,Irregular heartbeat and Upset stomach
6966,Irregular heartbeat and Weakness
6967,"Irregular heartbeat, Numbness or tingling and Pain"
6968,"Irregular heartbeat, Numbness or tingling, Palpitations"
6969,"Irregular heartbeat, Pain or discomfort and Pressure or heaviness"
6970,"Irregular heartbeat, Palpitations"
6971,"Irregular heartbeat, Pounding heart (pulse) and Slow heart rate (pulse)"
6972,"Irregular heartbeat, Swelling (Ankle) and Swelling (Foot (top))"
6973,Irregular menstrual periods and Mood swings
6974,Irregular menstrual periods and Night sweats
6975,Irregular menstrual periods and Pulsating sensation
6976,Irregular menstrual periods and Weight gain
6977,Irregular menstrual periods and Weight loss (unintentional)
6978,"Irregular menstrual periods, Nausea or vomiting and Upset stomach"
6979,Irregular periods and Nosebleed
6980,Irregular periods and Pain
6981,Irregular periods and Vaginal discharge
6982,"Irregular periods, Missed period, No periods, Urinary incontinence"
6983,"Irregular periods, Numbness or tingling and Pain"
6984,"Irregular periods, Numbness, Bleeding between periods, Vaginal discharge"
6985,Irritable Bowel Syndrome (IBS) Symptoms and Signs
6986,IT Band Syndrome Symptoms and Signs
6987,Itch
6988,Itching or burning and Frequent urination
6989,Itching or burning and Jaw locking
6990,Itching or burning and Joint pain
6991,Itching or burning and Lightheadedness
6992,Itching or burning and Pain
6993,Itching or burning and Paranoid behavior
6994,Itching or burning and Pulling out eyebrows
6995,Itching or burning and Restless or irritability
6996,Itching or burning and Seizures (uncontrollable jerking of limbs)
6997,Itching or burning and Sensitive to noise
6998,Itching or burning and Shaking hands or tremor
6999,Itching or burning and Shortness of breath
7000,Itching or burning and Swollen lips
7001,Itching or burning and Swollen tonsils
7002,Itching or burning and Thick saliva or mucus
7003,Itching or burning and Upset stomach
7004,Itching or burning and Vaginal bleeding after menopause
7005,Itching or burning and Weakness
7006,Itching or burning and Weight gain
7007,Itching or burning and White patches on tongue
7008,Itching or burning and Yellow eyes
7009,"Itching or burning, Joint pain and Numbness or tingling"
7010,"Itching or burning, Joint pain and Swelling"
7011,"Itching or burning, Joint pain, Muscle cramps, Skin darkening"
7012,"Itching or burning, Lightheadedness, Memory problems and Mood swings"
7013,"Itching or burning, Lump or bulge (Genitals) and Lump or bulge (Buttock)"
7014,"Itching or burning, Lump or bulge and Testicles shrinkage"
7015,"Itching or burning, Lump or bulge and Testicular pain"
7016,"Itching or burning, Lump or bulge, Pain or discomfort and Shuffling gait (feet)"
7017,"Itching or burning, Lump or bulge, Pain or discomfort and Skin bumps"
7018,"Itching or burning, Lump or bulge, Pain or discomfort and Skin rash"
7019,"Itching or burning, Missed or late menstrual period and Stomach cramps"
7020,"Itching or burning, Missed period, Vaginal discharge and Vaginal odor"
7021,"Itching or burning, Mouth sores and Soreness or burning inside of mouth"
7022,"Itching or burning, Mouth sores and White patches inside mouth"
7023,"Itching or burning, Mouth sores, Pain and Pain with urination"
7024,"Itching or burning, Muscle twitching (painless) and Numbness or tingling"
7025,"Itching or burning, Nasal congestion and Runny nose"
7026,"Itching or burning, Nausea or vomiting and Pain with urination"
7027,"Itching or burning, Nausea or vomiting and Sore throat"
7028,"Itching or burning, Nosebleed and Pain or discomfort"
7029,"Itching or burning, Numbness or tingling and Skin bumps"
7030,"Itching or burning, Numbness or tingling and Testicular pain"
7031,"Itching or burning, Numbness or tingling, Pain or discomfort and Ringing in ears"
7032,"Itching or burning, Numbness or tingling, Vaginal discharge and Vaginal odor"
7033,"Itching or burning, Pain and Skin blisters"
7034,"Itching or burning, Pain and Skin irritation"
7035,"Itching or burning, Pain or discomfort and Pulsating sensation"
7036,"Itching or burning, Pain or discomfort and Tearing in one eye"
7037,"Itching or burning, Pain or discomfort, Pain with urination and Skin blisters"
7038,"Itching or burning, Pain or discomfort, Ringing in ears and Sensitive to noise"
7039,"Itching or burning, Pain or discomfort, Testicular pain and Warm to touch"
7040,"Itching or burning, Pain with urination and Painful ejaculation"
7041,"Itching or burning, Pain with urination and Vaginal dryness"
7042,"Itching or burning, Pain with urination, Vaginal bleeding and Vaginal discharge"
7043,"Itching or burning, Pain, Skin rash and Skin redness"
7044,"Itching or burning, Pain, Sore throat and Swollen tonsils"
7045,"Itching or burning, Pain, Tenderness to touch and Vaginal discharge"
7046,"Itching or burning, Painful ejaculation and Testicular pain"
7047,"Itching or burning, Palpitations"
7048,"Itching or burning, Premature ejaculation and Testicles shrinkage"
7049,"Itching or burning, Puffy eyelids, Scaley skin on eyelids and Swelling"
7050,"Itching or burning, Red (bloodshot) eyes and Sensitive to light"
7051,"Itching or burning, Red eye (single) and Tearing in one eye"
7052,"Itching or burning, Red spots and Spots on throat"
7053,"Itching or burning, Ringing in ears and Sensitive to noise"
7054,"Itching or burning, Ringing in ears and Warm to touch"
7055,"Itching or burning, Runny nose and Watery eyes"
7056,"Itching or burning, Runny nose, Sneezing and Sore throat"
7057,"Itching or burning, Skin blisters and Welts"
7058,"Itching or burning, Skin blisters, Skin bumps and Skin rash"
7059,"Itching or burning, Skin bumps and Swelling"
7060,"Itching or burning, Skin bumps and Vaginal discharge"
7061,"Itching or burning, Skin bumps, Skin peeling and cracking or scaling"
7062,"Itching or burning, Skin bumps, Skin redness and Welts"
7063,"Itching or burning, Skin darkening, Skin irritation and Skin rash"
7064,"Itching or burning, Skin open sore and Skin rash"
7065,"Itching or burning, Skin rash and Sore throat"
7066,"Itching or burning, Skin rash and Swelling"
7067,"Itching or burning, Skin rash and Warm to touch"
7068,"Itching or burning, Skin redness and Swelling"
7069,"Itching or burning, Sore throat and Spots on tonsils"
7070,"Itching or burning, Sore throat and Vaginal discharge"
7071,"Itching or burning, Stomach cramps and Vaginal discharge"
7072,"Itching or burning, Swelling (Fingers), Swelling (Foot (top)) and Swollen lips"
7073,"Itching or burning, Swelling and Swollen lips"
7074,"Itching or burning, Swelling and Testicular pain"
7075,"Itching or burning, Swelling and Warm to touch"
7076,"Itching or burning, Swelling, Tenderness to touch and Vaginal discharge"
7077,"Itching or burning, Swollen lips and Tenderness to touch"
7078,"Itching or burning, Tenderness to touch and Vaginal discharge"
7079,"Itching or burning, Testicles shrinkage and Testicular pain"
7080,"Itching or burning, Vaginal bleeding between periods and Vaginal dryness"
7081,"Itching or burning, Vaginal bleeding, Vaginal discharge and Vaginal odor"
7082,"Itching or burning, Vaginal discharge and Warm to touch"
7083,"Itching or burning, Vaginal dryness and Warm to touch"
7084,"Itching or burning, Weight loss"
7085,Ja-Jt
7086,Ju-Jz
7087,Ja-Jt
7088,Jaundice
7089,Jaw Clicking and Ear ache
7090,"Jaw Clicking, Dry eyes, Headache and Jaw locking"
7091,"Jaw Clicking, Ear ache, Enlarged glands and Jaw locking"
7092,"Jaw Clicking, Ear ache, Headache and Pain"
7093,"Jaw Clicking, Ear ache, Nasal congestion and Pain"
7094,"Jaw Clicking, Eye irritation, Eye Floaters, Gritty eyes"
7095,Jaw locking and Numbness or tingling
7096,Jaw locking and Swelling
7097,Jaw locking and Teeth do not fit like they used to
7098,"Jaw locking, Joint pain (Arm), Joint pain (Shoulder) and Joint pain (Elbow)"
7099,"Jaw locking, Muscle cramps, Numbness or tingling, Pain"
7100,"Jaw locking, Muscle cramps, Pain, Stiffness"
7101,"Jaw locking, Numbness or tingling and Pain"
7102,"Jaw locking, Pain and Stiffness or decreased movement"
7103,"Jaw locking, Pain or discomfort and Swollen gums"
7104,Jaw Pain
7105,Jerking eye movements
7106,Jerking eye movements and Spinning sensation
7107,Jerking eye movements and Sudden flash of lights
7108,Jerking eye movements and Unequal pupils (size)
7109,Jerking eye movements and Visual halos around lights
7110,Jet Lag Symptoms and Signs
7111,Jock Itch (Tinea Cruris) Symptoms and Signs
7112,Joint aches and Low blood pressure
7113,Joint aches and Night sweats
7114,Joint aches and Pain or discomfort
7115,Joint aches and Restless or irritability
7116,Joint aches and Shaking
7117,Joint aches and Skin rash
7118,"Joint aches, Muscle stiffness (rigidity) and Weight gain"
7119,"Joint aches, Pain or discomfort (Abdomen (upper)) and Pain or discomfort (Back)"
7120,Joint Cracking
7121,Joint Deformity
7122,Joint instability and Joint pain
7123,Joint instability and Numbness or tingling
7124,"Joint instability, Joint pain, Numbness or tingling and Pain or discomfort"
7125,"Joint instability, Joint pain, Popping or snapping sound from joint and Swelling"
7126,Joint locking and Joint pain
7127,Joint locking and Pain
7128,Joint locking or catching and Popping or snapping sound from joint
7129,"Joint locking or catching, Joint pain, Lump or bulge and Pain or discomfort"
7130,"Joint locking, Joint pain and Pain"
7131,"Joint locking, Joint pain and Stiffness or decreased movement"
7132,"Joint locking, Joint pain and Swelling"
7133,"Joint locking, Muscle cramps"
7134,"Joint locking, Muscle cramps, Pain"
7135,"Joint locking, Numbness or tingling, Pain and Stiffness or decreased movement"
7136,Joint Pain
7137,Joint pain
7138,"Joint pain (Elbow), Joint pain (Wrist), Joint pain (Fingers) and Stiff neck"
7139,"Joint pain (Fingers), Joint pain (Ankle), Skin rash and Swelling"
7140,"Joint pain (Fingers), Joint pain (Leg), Muscle wasting and Pain or discomfort"
7141,"Joint pain (Shoulder), Joint pain (Elbow) and Stiffness or decreased movement"
7142,"Joint pain (Wrist), Joint pain (Fingers), Lump or bulge and Numbness or tingling"
7143,"Joint pain (Wrist), Joint pain (Hip), Pain or discomfort and Stiff neck"
7144,Joint pain and Bruising
7145,Joint pain and Missed or late menstrual period
7146,Joint pain and Morning stiffness
7147,Joint pain and Mouth sores
7148,Joint pain and Muscle cramps or spasms (painful)
7149,Joint pain and Nausea or vomiting
7150,Joint pain and Night sweats
7151,Joint pain and Nosebleed
7152,Joint pain and Pulsating sensation
7153,Joint pain and Restless (urge to move) legs
7154,Joint pain and Runny nose
7155,Joint pain and Shortness of breath
7156,Joint pain and Skin blisters
7157,Joint pain and Skin rash
7158,Joint pain and Sore throat
7159,Joint pain and Stiff neck
7160,Joint pain and Stomach cramps
7161,Joint pain and Tenderness to touch
7162,Joint pain and Tightness
7163,Joint pain and Unable to bear weight
7164,Joint pain and Upset stomach
7165,Joint pain and Upward curving (spooning) of nails
7166,Joint pain and Warm to touch
7167,Joint pain and Weakness
7168,Joint pain and Weight gain
7169,"Joint pain, Dizziness and Lightheadedness"
7170,"Joint pain, Lump or bulge and Morning stiffness"
7171,"Joint pain, Lump or bulge and Tenderness to touch"
7172,"Joint pain, Lump or bulge, Morning joint stiffness and Pain or discomfort"
7173,"Joint pain, Lump or bulge, Pain or discomfort and Visible deformity"
7174,"Joint pain, Lump or bulge, Swelling (Ankle) and Swelling (Foot (top))"
7175,"Joint pain, Missed or late menstrual period and Pain or discomfort"
7176,"Joint pain, Missed period, Morning stiffness, Muscle cramps"
7177,"Joint pain, Morning joint stiffness and Swelling"
7178,"Joint pain, Morning joint stiffness, Nausea or vomiting and Pain or discomfort"
7179,"Joint pain, Morning joint stiffness, Swelling and Unable to grip (hands)"
7180,"Joint pain, Muscle cramps or spasms (painful) and Nausea or vomiting"
7181,"Joint pain, Muscle cramps or spasms (painful) and Unable to grip (hands)"
7182,"Joint pain, Muscle cramps, Stiffness"
7183,"Joint pain, Nausea or vomiting, Pain or discomfort and Swelling"
7184,"Joint pain, Nausea or vomiting, Pain, Restless (urge to move) legs"
7185,"Joint pain, Numbness or tingling, Pain or discomfort and Pressure or fullness"
7186,"Joint pain, Numbness or tingling, Restless (urge to move) legs and Swelling"
7187,"Joint pain, Numbness or tingling, Swelling (Wrist) and Swelling (Fingers)"
7188,"Joint pain, Numbness or tingling, Swelling and Warm to touch"
7189,"Joint pain, Pain or discomfort and Ringing in ears"
7190,"Joint pain, Pain or discomfort and Tenderness to touch"
7191,"Joint pain, Pain or discomfort and Testicular pain"
7192,"Joint pain, Pain or discomfort and Vaginal bleeding between periods"
7193,"Joint pain, Pain or discomfort and Vaginal discharge"
7194,"Joint pain, Pain or discomfort, Shaking hands or tremor and Swelling"
7195,"Joint pain, Pain or discomfort, Swelling and Warm to touch"
7196,"Joint pain, Pain or discomfort, Unable to grip (hands) and Weakness"
7197,"Joint pain, Pain, joint sound, Shuffling gait (feet)"
7198,"Joint pain, Pain, Twisting or rotation of limb and Unable to bear weight"
7199,"Joint pain, Painful intercourse"
7200,"Joint pain, Popping or snapping sound from joint and Swelling"
7201,"Joint pain, Popping or snapping sound from joint and Weakness"
7202,"Joint pain, Popping or snapping sound from joint, Swelling and Warm to touch"
7203,"Joint pain, Shaking hands and Swelling"
7204,"Joint pain, Skin rash and Swelling"
7205,"Joint pain, Sore throat and Stiff neck"
7206,"Joint pain, Stiff neck, Stiffness or decreased movement and Weakness"
7207,"Joint pain, Stiffness or decreased movement and Unable to bend foot down"
7208,"Joint pain, Stiffness or decreased movement and Weakness"
7209,"Joint pain, Stiffness or decreased movement, Swelling and Unable to move joint"
7210,"Joint pain, Swelling (Fingers), Swelling (Foot (top)) and Unable to grip (hands)"
7211,"Joint pain, Swelling and Warm to touch"
7212,"Joint pain, Swelling, Tenderness to touch and Unable to bend foot down"
7213,"Joint pain, Swelling, Tenderness to touch and Warm to touch"
7214,"Joint pain, Swelling, Unable to grip (hands) and Warm to touch"
7215,"Joint pain, Swelling, Unable to grip (hands) and Weakness"
7216,"Joint pain, Unable to bear weight and Unable to move joint"
7217,Joint Popping (Joint Cracking)
7218,Joint Popping and Pain
7219,Joint Popping and Tenderness to touch
7220,Joint Redness
7221,Joint Stiffness
7222,Joint Warmth
7223,Ju-Jz
7224,Jumpiness or easily startled
7225,Jumpiness or easily startled and Loss of coordination
7226,Jumpiness or easily startled and Trembling
7227,Juvenile Idiopathic Arthritis Symptoms and Signs
7228,Ka-Kz
7229,Ka-Kz
7230,Kawasaki Disease Symptoms and Signs
7231,Keloid Symptoms and Signs
7232,Keratitis Symptoms and Signs
7233,Keratoconus Symptoms and Signs
7234,Keratosis Pilaris Symptoms and Signs
7235,Kernicterus Symptoms and Signs
7236,Kidney Cancer Symptoms and Signs
7237,Kidney Failure
7238,Kidney Infection Symptoms and Signs
7239,Kidney Stone Symptoms and Signs
7240,Killer Cold Virus Infection Symptoms and Signs
7241,Kleine-Levin Syndrome Symptoms and Signs
7242,Klinefelter Syndrome Symptoms and Signs
7243,Knee Pain
7244,Knee Swelling (Swollen Knee)
7245,Koilonychia
7246,Krabbe Disease Symptoms and Signs
7247,Kyphosis Symptoms and Signs
7248,La-Ln
7249,Lo-Lx
7250,Ly-Lz
7251,La-Ln
7252,Labile Mood (Inability to Regulate Emotions)
7253,Labored breathing and Prolonged breathing pauses
7254,Labored breathing and Shortness of breath
7255,Labored breathing and Slow or irregular breathing
7256,"Labored breathing, Muscle cramps or spasms (painful) and Pain or discomfort"
7257,"Labored breathing, Pain or discomfort and Slow heart rate (pulse)"
7258,Lack of emotion and Memory problems
7259,Lack of emotion and Slow thinking
7260,Lack of Facial Expressions
7261,"Lack of motivation, Poor concentration and Slow thinking"
7262,Lactase Deficiency (Lactose Intolerance Symptoms and Signs)
7263,Lactose Intolerance Symptoms and Signs
7264,Landau-Kleffner Syndrome Symptoms and Signs
7265,Laryngitis
7266,Lassa Fever Symptoms and Signs
7267,Latex Allergy Symptoms and Signs
7268,Lead Poisoning Symptoms and Signs
7269,Learning Disability Symptoms and Signs
7270,Leg Pain
7271,Leg Sores
7272,Leg Swelling
7273,Legionnaires' Disease Symptoms and Signs
7274,Leishmaniasis Symptoms and Signs
7275,Leprosy Symptoms and Signs
7276,Leptospirosis Symptoms and Signs
7277,Leukemia Symptoms and Signs
7278,Leukoplakia Symptoms and Signs
7279,Lewy Body Dementia Symptoms and Signs
7280,Lichen Planus Symptoms and Signs
7281,Lichen Sclerosus Symptoms and Signs
7282,Lightheadedness and Metallic taste
7283,Lightheadedness and Nosebleed
7284,Lightheadedness and Numbness
7285,Lightheadedness and Numbness or tingling
7286,Lightheadedness and Pain or discomfort
7287,Lightheadedness and Pounding heart (pulse)
7288,Lightheadedness and Pressure or heaviness
7289,Lightheadedness and Pulsating sensation
7290,Lightheadedness and Ringing in ears
7291,Lightheadedness and Sense of impending doom
7292,Lightheadedness and Sensitive to light
7293,Lightheadedness and Sensitive to noise
7294,Lightheadedness and Shaking hands
7295,Lightheadedness and Shortness of breath
7296,Lightheadedness and Sneezing
7297,Lightheadedness and Sore throat
7298,Lightheadedness and Swelling
7299,Lightheadedness and Upset stomach
7300,Lightheadedness and Vaginal discharge
7301,Lightheadedness and Warm to touch
7302,"Lightheadedness, Dizziness and Numbness or tingling"
7303,"Lightheadedness, Loss of consciousness, Muscle weakness and Nausea or vomiting"
7304,"Lightheadedness, Missed or late menstrual period and Pain or discomfort"
7305,"Lightheadedness, Nausea or vomiting and Nosebleed"
7306,"Lightheadedness, Nausea or vomiting and Numbness or tingling"
7307,"Lightheadedness, Nausea or vomiting and Ringing in ears"
7308,"Lightheadedness, Nausea or vomiting and Shaking"
7309,"Lightheadedness, Nausea or vomiting and Shaking hands"
7310,"Lightheadedness, Nausea or vomiting and Sore throat"
7311,"Lightheadedness, Nausea or vomiting and Upset stomach"
7312,"Lightheadedness, Numbness or tingling and Pain"
7313,"Lightheadedness, Numbness or tingling and Sense of impending doom"
7314,"Lightheadedness, Numbness or tingling and Slow thinking"
7315,"Lightheadedness, Numbness or tingling and Spinning sensation"
7316,"Lightheadedness, Numbness or tingling, Palpitations"
7317,"Lightheadedness, Numbness or tingling, Swelling (Fingers) and Swelling (Ankle)"
7318,"Lightheadedness, Pain or discomfort and Spinning sensation"
7319,"Lightheadedness, Swelling (Eyes) and Swelling (Toes)"
7320,Limping
7321,Lipodystrophy Symptoms and Signs
7322,Liposarcoma Symptoms and Signs
7323,Listeriosis Symptoms and Signs
7324,Liver Cancer Symptoms and Signs
7325,Liver Disease Symptoms and Signs
7326,Lo-Lx
7327,Locked-in Syndrome Symptoms and Signs
7328,Loss in Breast Fullness
7329,Loss of Appetite
7330,Loss of balance and Short attention span
7331,"Loss of balance, Loss of coordination, Muscle weakness, Restless or irritability"
7332,"Loss of balance, Muscle weakness and Numbness or tingling"
7333,Loss of consciousness
7334,Loss of consciousness and Memory problems
